# y+ ()       
# Time        	patch         	min           	max           	average       
4.2           	bottomWall	5.396540e-01	1.543988e+00	6.588944e-01
4.2           	topWall	5.541059e-01	1.676409e+00	6.570380e-01
4.3           	bottomWall	5.381899e-01	1.627822e+00	6.575364e-01
4.3           	topWall	5.508445e-01	1.698223e+00	6.557045e-01
4.4           	bottomWall	5.362465e-01	1.552489e+00	6.560759e-01
4.4           	topWall	5.483381e-01	1.462586e+00	6.545557e-01
4.5           	bottomWall	5.335785e-01	1.574775e+00	6.548662e-01
4.5           	topWall	5.457088e-01	1.694989e+00	6.535368e-01
4.6           	bottomWall	5.314078e-01	1.650876e+00	6.538119e-01
4.6           	topWall	5.428133e-01	1.780355e+00	6.524563e-01
4.7           	bottomWall	5.288694e-01	1.593881e+00	6.526681e-01
4.7           	topWall	5.400701e-01	1.672833e+00	6.514842e-01
4.8           	bottomWall	5.259713e-01	1.527167e+00	6.517741e-01
4.8           	topWall	5.377475e-01	1.887988e+00	6.507360e-01
4.9           	bottomWall	5.236357e-01	2.194926e+00	6.512438e-01
4.9           	topWall	5.358103e-01	1.665396e+00	6.498977e-01
5             	bottomWall	3.813289e-01	1.894179e+00	6.502968e-01
5             	topWall	5.334939e-01	1.844824e+00	6.493374e-01
5.1           	bottomWall	5.189001e-01	1.674983e+00	6.496659e-01
5.1           	topWall	5.312086e-01	1.835258e+00	6.489430e-01
5.2           	bottomWall	4.505373e-01	1.734004e+00	6.489008e-01
5.2           	topWall	5.286476e-01	1.614436e+00	6.485747e-01
5.3           	bottomWall	5.119430e-01	1.840860e+00	6.484805e-01
5.3           	topWall	4.189788e-01	1.810476e+00	6.478361e-01
5.4           	bottomWall	5.107724e-01	1.645447e+00	6.477282e-01
5.4           	topWall	5.248418e-01	1.826039e+00	6.477115e-01
5.5           	bottomWall	5.139363e-01	1.613283e+00	6.473646e-01
5.5           	topWall	5.234176e-01	1.562956e+00	6.472563e-01
5.6           	bottomWall	5.166508e-01	1.641011e+00	6.471864e-01
5.6           	topWall	5.210878e-01	1.717851e+00	6.472373e-01
5.7           	bottomWall	5.199600e-01	1.604539e+00	6.467103e-01
5.7           	topWall	5.192565e-01	1.878022e+00	6.470007e-01
5.8           	bottomWall	4.515160e-01	1.742159e+00	6.466720e-01
5.8           	topWall	5.195574e-01	1.716764e+00	6.468761e-01
5.9           	bottomWall	5.175021e-01	1.547075e+00	6.461776e-01
5.9           	topWall	5.176109e-01	1.636309e+00	6.467246e-01
6             	bottomWall	5.163020e-01	1.710211e+00	6.463515e-01
6             	topWall	5.160959e-01	1.762145e+00	6.466473e-01
6.1           	bottomWall	5.151868e-01	1.652649e+00	6.460003e-01
6.1           	topWall	5.139789e-01	1.511017e+00	6.461501e-01
6.2           	bottomWall	5.143496e-01	1.605372e+00	6.458291e-01
6.2           	topWall	5.132857e-01	1.518287e+00	6.462823e-01
6.3           	bottomWall	5.139719e-01	1.619288e+00	6.457086e-01
6.3           	topWall	5.129253e-01	1.704966e+00	6.459533e-01
6.4           	bottomWall	5.144061e-01	1.407535e+00	6.458048e-01
6.4           	topWall	5.109944e-01	1.786609e+00	6.456352e-01
6.5           	bottomWall	5.159085e-01	1.716941e+00	6.457478e-01
6.5           	topWall	5.083511e-01	1.610337e+00	6.453322e-01
6.6           	bottomWall	5.190589e-01	1.563272e+00	6.455867e-01
6.6           	topWall	5.065366e-01	1.758486e+00	6.454191e-01
6.7           	bottomWall	5.180116e-01	1.620974e+00	6.455598e-01
