-0.0075 	0 	0 	0
-0.00715932 	-0.000195532 	-3.58777e-05 	0.139487
-0.00676191 	-0.000312812 	-0.000106449 	0.220569
-0.00629832 	-0.000341807 	-0.000194878 	0.270065
-0.00575752 	-0.000321283 	-0.00028469 	0.303229
-0.00512667 	-0.000284637 	-0.000366399 	0.328069
-0.00439077 	-0.000249705 	-0.000433653 	0.347606
-0.00353231 	-0.000222612 	-0.000487724 	0.362817
-0.00253089 	-0.000201557 	-0.000532343 	0.373819
-0.00136271 	-0.00018249 	-0.000566264 	0.38039
0 	-0.00016427 	-0.000583474 	0.382009
0.00136271 	-0.000149239 	-0.000577951 	0.378177
0.00253089 	-0.000140479 	-0.000549021 	0.369186
0.00353231 	-0.000141284 	-0.000501351 	0.355689
0.00439077 	-0.000155405 	-0.000433401 	0.337688
0.00512667 	-0.000184479 	-0.000338615 	0.313992
0.00575752 	-0.000222531 	-0.000219281 	0.28176
0.00629832 	-0.00024813 	-9.61208e-05 	0.235833
0.00676191 	-0.000218318 	-9.9224e-06 	0.164936
0.00715932 	-0.000113808 	1.16055e-05 	0.0734291
0.0075 	0 	0 	0
